name,link,amount,rrp,price,discount,final
Everyday Essentials Long Grain Rice 1kg,p-everyday-essentials-long-grain-rice-1kg/4088600288949,1000,0.45,0.45,0,0.00045
The Pantry Strong Wholemeal Flour 1.5kg,,1500,0.59,0.59,0,0.0003933
Ashfield Farm 100% British 5% Fat Lean Beef Mince 1kg,,1000,4.89,4.89,0,0.00489
Solesta Olive Oil 1 Litre,,1000,2.19,2.19,0,0.00219
